Company Name,Search String
Vertiv Holdings Co,艾默生
Vertiv Holdings Co,网络
Vertiv Holdings Co,能源
Yintech Investment Holdings Limited,银科
Amoi,夏新
China Southern Airlines,中国
China Southern Airlines,南方
China Southern Airlines,航空
"Uniqlo Co., Ltd.",优衣库
"Uniqlo Co., Ltd.",中国
Damco,丹马士
Groupe Beaumanoir,博马
Groupe Beaumanoir,努瓦
Tata Consultancy Services,塔塔
Tata Consultancy Services,咨询
Tata Consultancy Services,服务
Cox Automotive,考克斯
Cox Automotive,汽车
Triumph International,黛安芬
NortonLifeLock Inc.,赛门铁克
Roblox,虚拟
Roblox,世界
Oversea-Chinese Banking Corporation Limited,华侨
Oversea-Chinese Banking Corporation Limited,银行
VF Corporation,威富
iPinYou,品友
iPinYou,互动
BIOBASE,博科
BIOBASE,生物
SAIC General Motors Company Ltd.,上汽
SAIC General Motors Company Ltd.,通用
SAIC General Motors Company Ltd.,汽车
AdMaster,精硕
AdMaster,科技
Cathay United Bank,国泰
Cathay United Bank,世华
China Aerospace International Holdings,中国
China Aerospace International Holdings,航天
China Aerospace International Holdings,国际
Andhra Bank,安得拉邦
Andhra Bank,银行
Align Technology,爱齐
Aitken Spence,艾特肯彭斯
Aitken Spence,海运
Bain & Company,贝恩
Bain & Company,咨询
Bain & Company,贝恩
Bain & Company,策略
Bain & Company,顾问
Xinhuanet,新华
Xinhuanet,通讯社
Xinhuanet,新华社
Cebu Pacific,宿务
Cebu Pacific,太平洋
Cebu Pacific,航空
Hulamin,南非
Hulamin,铝业
Puma Energy,彪马
Puma Energy,能源
MobileIron,思可信
Lumentum,特姆鲁门
Shanghai Fosun Pharmaceutical (Group) Co.,复星
Shanghai Fosun Pharmaceutical (Group) Co.,医药
Sangfor Technologies,深信服
Sangfor Technologies,科技
DP World,迪拜
DP World,环球
DP World,港务
Enel Green Power S.p.A.,埃奈尔
Enel Green Power S.p.A.,绿色
Enel Green Power S.p.A.,能源
"Publix Super Markets, Inc.",大众
"Publix Super Markets, Inc.",超级
"Publix Super Markets, Inc.",市场
GE Aviation,通用
GE Aviation,航空
"ChinaSoft International Co., Ltd.",中
"ChinaSoft International Co., Ltd.",软
"ChinaSoft International Co., Ltd.",国际
"ChinaSoft International Co., Ltd.",科技
"ChinaSoft International Co., Ltd.",服务
Oclaro,奥兰
Oclaro,若
PKN Orlen S.A.,波兰
PKN Orlen S.A.,国营
PKN Orlen S.A.,石油
Camara de Comercio Hispano China,西班牙中国商会
NTUC Income,职总
NTUC Income,英康
NTUC Income,保险
KPMG,毕马威
KPMG,会计
KPMG,事务所
KPMG,安侯
KPMG,建业
Xunlei Limited,迅雷
Xunlei Limited,网络
Xunlei Limited,技术
Maxim Integrated,美信
Maxim Integrated,集成
